city,gdp,population,disposable_income,university_count,metro_lines,primary_industry_pct,secondary_industry_pct,tertiary_industry_pct
北京,52073.4,2188,89090,92,,0.3,15.9,83.9
上海,56708.71,2489,91987,69,,0.2,25.7,74.1
广州,32039.46,1881,80591,84,,1.1,27.4,71.5
深圳,38731.8,1768,84945,10,,0.1,38.3,61.6
杭州,23010.9,1220,80017,47,,1.8,30,68.2
南京,19428.78,942,78243,52,,1.9,35.9,62.2
苏州,27695.1,1284,80796,25,,0.8,48.1,51.1
成都,24763.61,2119,54363,59,,2.8,30.8,66.4
重庆,33757.93,3212,39713,73,,6.9,40.1,52.9
武汉,22147.35,1364,62530,83,,2.5,35.6,61.9
西安,13902.67,1316,45082,63,,2.4,28.6,69
长沙,15737.82,1023,66396,59,,3.2,40,56.7
郑州,15244.6,1274,45994,73,,1.4,40,58.6
天津,18539.82,1373,55918,57,,1.7,37,61.3
青岛,17560.67,1025,62738,25,,3.2,34.8,62
