city,wage_year_ref,avg_wage_year,avg_salary_month,gdp_yi,gdp_per_capita,population_wan,urban_employment_wan,rent_year_ref,rent_per_sqm,rent_month_est,rent_income_ratio
北京,2021,201504.0,16792.0,40270.0,183980.0,1414.0,759.509,2021,88.46,4423.0,0.2634
上海,2021,196053.0,16338.0,43215.0,173600.0,1493.0,683.075,2021,99.14,4957.0,0.3034
广州,2021,144288.0,12024.0,28232.0,150366.0,1012.0,426.938,2021,59.9,2995.0,0.2491
深圳,2021,155563.0,12964.0,30665.0,173663.0,631.0,513.596,2021,89.61,4481.0,0.3456
杭州,2021,151121.0,12593.0,18109.0,149857.0,835.0,294.644,2021,56.73,2836.0,0.2252
南京,2021,149087.0,12424.0,16356.0,174520.0,734.0,217.899,2021,45.58,2279.0,0.1834
苏州,2021,126749.0,10562.0,22718.0,177505.0,762.0,300.455,2021,38.8,1940.0,0.1837
成都,2021,113853.0,9488.0,19917.0,94622.0,1556.0,,2021,32.85,1643.0,0.1732
重庆,2021,106966.0,8914.0,27894.0,86879.0,3415.0,358.144,2021,28.02,1401.0,0.1572
武汉,2021,121608.0,10134.0,17717.0,135251.0,934.0,187.718,2021,31.72,1586.0,0.1565
西安,2021,115574.0,9631.0,10688.0,83689.0,999.0,202.9,2021,29.0,1450.0,0.1506
长沙,2021,114805.0,9567.0,13271.0,130745.0,760.0,155.053,2021,29.52,1476.0,0.1543
郑州,2021,96365.0,8030.0,12691.0,100092.0,911.0,219.822,2021,24.94,1247.0,0.1553
天津,2021,128171.0,10681.0,15695.0,113732.0,1152.0,256.445,2021,34.68,1734.0,0.1623
青岛,2021,127228.0,10602.0,14136.0,138849.0,846.0,147.655,2021,27.53,1376.0,0.1298
