city,subway,hospital,park,mall,restaurant,library,gym
北京,460,3639,3655,254,5591,598,3229
上海,537,1969,2734,255,6254,582,4469
广州,350,1892,2618,371,5006,497,2782
深圳,455,424,2084,286,4043,790,3195
杭州,329,2000,1633,200,4736,335,2818
南京,335,958,938,134,2740,271,1511
苏州,275,1289,1578,184,3327,337,1680
成都,375,3022,1479,231,4118,308,2736
重庆,361,4903,2298,310,3442,383,2035
武汉,313,1380,1216,176,3340,298,1971
西安,223,2107,696,211,2965,228,1492
长沙,211,1618,835,161,3139,274,1598
郑州,238,2428,1214,198,2473,204,1404
天津,308,1933,1003,214,2829,237,1380
青岛,262,2901,1165,199,2379,195,1154
